leiden,cell_type
0,ODC
1,ODC
2,ODC
3,ODC
4,ODC
5,MG
6,ASC
7,ODC
8,ODC
9,OPC
10,Neuron
11,ASC
12,ODC
13,ASC
14,END
15,Neuron
16,PER
17,ASC
18,Neuron
19,Neuron
20,Neuron
21,LYM
22,Neuron
